date,category,product,price,currency,source_url
2022-03-03,vga_avg,GeForce RTX 3060,838.44,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-04,vga_avg,GeForce RTX 3060,833.18,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-05,vga_avg,GeForce RTX 3060,837.09,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-06,vga_avg,GeForce RTX 3060,839.98,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-07,vga_avg,GeForce RTX 3060,827.82,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-08,vga_avg,GeForce RTX 3060,787.01,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-09,vga_avg,GeForce RTX 3060,798.70,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-10,vga_avg,GeForce RTX 3060,805.94,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-11,vga_avg,GeForce RTX 3060,791.15,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-12,vga_avg,GeForce RTX 3060,787.90,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-13,vga_avg,GeForce RTX 3060,786.65,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-14,vga_avg,GeForce RTX 3060,799.51,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-15,vga_avg,GeForce RTX 3060,766.83,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-16,vga_avg,GeForce RTX 3060,786.75,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-17,vga_avg,GeForce RTX 3060,772.78,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-18,vga_avg,GeForce RTX 3060,773.39,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-19,vga_avg,GeForce RTX 3060,782.88,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-20,vga_avg,GeForce RTX 3060,797.10,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-21,vga_avg,GeForce RTX 3060,796.52,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-22,vga_avg,GeForce RTX 3060,784.74,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-23,vga_avg,GeForce RTX 3060,783.62,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-24,vga_avg,GeForce RTX 3060,767.75,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-25,vga_avg,GeForce RTX 3060,761.59,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-26,vga_avg,GeForce RTX 3060,759.90,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-27,vga_avg,GeForce RTX 3060,784.43,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-28,vga_avg,GeForce RTX 3060,757.87,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-29,vga_avg,GeForce RTX 3060,723.11,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-30,vga_avg,GeForce RTX 3060,736.28,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-31,vga_avg,GeForce RTX 3060,732.55,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-01,vga_avg,GeForce RTX 3060,710.87,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-02,vga_avg,GeForce RTX 3060,712.41,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-03,vga_avg,GeForce RTX 3060,726.35,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-04,vga_avg,GeForce RTX 3060,703.41,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-05,vga_avg,GeForce RTX 3060,681.29,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-06,vga_avg,GeForce RTX 3060,694.39,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-07,vga_avg,GeForce RTX 3060,701.18,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-08,vga_avg,GeForce RTX 3060,663.76,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-09,vga_avg,GeForce RTX 3060,674.26,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-10,vga_avg,GeForce RTX 3060,663.53,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-11,vga_avg,GeForce RTX 3060,675.19,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-12,vga_avg,GeForce RTX 3060,685.62,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
