ticker,company_name,market,revenue_period,period_type,revenue,currency,source
2377.TW,微星,TW,2020-06,monthly,13779635000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2020-06-27,quarterly,1932000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2020-07,monthly,37141186000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2020-07,monthly,8099005000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2020-07,monthly,13840272000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2020-08,monthly,43239629000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2020-08,monthly,6964531000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2020-08,monthly,13275096000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2020-09,monthly,47041752000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2020-09,monthly,7931867000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2020-09,monthly,13640345000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2020-09-26,quarterly,2801000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2020-10,monthly,39603348000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2020-10,monthly,7358828000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2020-10,monthly,13838851000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2020-11,monthly,39748738000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2020-11,monthly,9400828000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2020-11,monthly,15612071000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2020-12,monthly,42970648000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2020-12,monthly,6693998000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2020-12,monthly,12454321000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2020-12-26,quarterly,3244000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2021-01,monthly,36724581000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2021-01,monthly,10386245000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2021-01,monthly,17022930000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2021-02,monthly,33535728000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2021-02,monthly,6969450000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2021-02,monthly,13256069000.0,TWD,https://api.finmindtrade.com/api/v4/data
